seconds, accX, accY, accZ, temp
30,-0.06,1.00,0.14,50.02
30,0.00,1.00,0.14,46.78
30,-0.01,1.00,0.14,46.78
30,-0.07,0.99,0.13,45.44
30,-0.07,0.99,0.12,47.14
30,-0.09,1.00,0.12,46.95
30,-0.05,1.01,0.12,43.03
30,-0.05,1.00,0.13,45.05
30,-0.00,1.00,0.13,45.83
30,-0.01,0.99,0.13,45.83
30,-0.01,0.99,0.13,38.92
30,-0.06,0.99,0.18,44.81
30,-0.10,0.99,0.12,44.81
30,-0.12,1.01,0.11,42.66
30,-0.06,1.01,0.13,46.61
30,-0.02,1.00,0.13,46.61
30,-0.00,0.99,0.14,49.14
30,-0.00,1.00,0.14,42.12
30,-0.04,1.00,0.14,41.50
30,-0.08,1.00,0.12,43.07
30,-0.08,1.00,0.11,47.57
30,-0.07,1.00,0.11,42.25
30,-0.02,1.01,0.12,42.25
30,-0.05,1.00,0.13,45.05
30,0.01,1.00,0.13,45.48
30,-0.04,0.99,0.13,45.48
30,-0.09,0.99,0.13,42.24
30,-0.09,0.99,0.11,45.72
30,-0.09,0.99,0.11,46.00
30,-0.02,1.01,0.12,42.87
30,-0.02,1.01,0.13,47.11
30,0.01,1.01,0.13,49.25
30,-0.03,0.99,0.14,49.25
30,-0.03,0.99,0.12,46.02
30,-0.08,0.99,0.11,45.46
30,-0.10,1.00,0.11,45.46
30,-0.10,1.01,0.11,45.56
30,-0.04,1.01,0.12,43.49
30,0.00,1.01,0.12,43.49
30,-0.02,1.00,0.14,44.39
30,-0.02,0.94,0.13,39.56
30,-0.06,1.00,0.13,39.69
30,-0.09,1.00,0.11,44.39
30,-0.09,1.00,0.10,47.00
30,-0.05,1.00,0.10,42.00
30,-0.01,1.01,0.12,42.00
30,-0.05,0.99,0.15,47.51
30,0.01,0.99,0.13,50.47
30,-0.05,1.00,0.13,50.47
30,-0.09,0.99,0.12,44.20
30,-0.09,0.99,0.11,50.42
30,-0.07,1.01,0.11,50.81
30,-0.01,1.01,0.12,42.19
30,-0.01,1.00,0.13,45.95
30,0.01,1.00,0.13,41.67
30,-0.04,1.00,0.13,41.67
