seconds, accX, accY, accZ, temp
1,0.10,1.17,0.02,45.31
1,0.23,1.15,0.02,42.38
1,0.23,1.17,0.20,47.41
1,-0.07,0.79,0.20,47.61
1,-0.26,1.07,0.24,47.61
1,-0.26,0.83,0.14,45.86
1,-0.21,0.83,0.14,50.97
1,0.06,1.03,0.04,50.97
1,0.01,1.26,-0.01,42.46
1,0.26,1.26,-0.04,49.09
1,0.01,0.84,0.14,49.09
1,-0.22,1.02,0.27,44.95
1,-0.22,1.02,0.16,46.90
1,-0.23,0.95,0.16,46.35
1,0.01,0.87,0.11,45.57
1,0.01,0.83,-0.03,43.78
1,0.22,1.33,-0.03,46.64
1,0.05,0.89,0.09,46.64
1,0.05,0.95,0.28,48.09
1,-0.16,0.95,0.27,43.00
1,-0.27,1.04,0.15,43.00
1,-0.08,0.80,0.13,42.86
1,-0.08,0.80,0.00,43.74
1,0.14,1.30,0.00,43.74
1,0.13,0.97,0.04,43.65
1,0.13,0.94,0.24,45.15
1,-0.09,0.88,0.24,44.69
1,-0.27,1.11,0.17,42.34
1,-0.27,0.77,0.14,47.90
1,-0.12,0.77,0.14,41.53
1,0.11,1.20,0.03,41.53
1,0.08,1.06,0.00,44.83
1,0.21,1.06,0.01,41.05
1,-0.03,0.83,0.20,41.05
1,-0.26,1.10,0.20,42.33
1,-0.26,1.08,0.15,46.15
1,-0.18,0.83,0.15,46.71
1,0.05,1.07,0.08,43.58
1,0.05,1.18,-0.04,42.08
1,0.24,1.18,-0.04,40.95
1,0.02,0.83,0.17,40.95
1,0.04,1.04,0.26,40.72
1,-0.27,1.04,0.28,43.45
1,-0.22,0.93,0.16,43.45
1,0.00,0.95,0.10,43.19
1,0.00,0.95,-0.04,42.63
1,0.21,1.26,-0.04,42.41
1,0.06,0.88,0.13,40.85
1,0.06,0.93,0.27,41.22
1,-0.22,0.93,0.27,44.04
1,-0.23,1.04,0.14,44.04
1,-0.23,0.86,0.14,45.67
1,-0.07,0.86,0.16,44.50
1,0.15,1.27,-0.02,44.50
1,0.13,0.97,0.10,45.21
1,0.13,0.97,0.26,48.49
1,-0.15,0.84,0.26,48.49
1,-0.23,1.09,0.15,51.09
1,-0.23,1.11,0.14,47.21
1,-0.13,0.80,0.14,47.64
1,0.10,1.21,0.01,46.85
1,0.10,1.09,0.04,46.38
1,0.22,1.09,0.04,43.53
1,-0.09,0.80,0.21,43.53
1,-0.06,1.09,0.21,45.72
1,-0.25,1.09,0.21,39.75
1,-0.17,0.81,0.15,39.75
1,0.06,1.09,0.03,39.62
1,0.06,1.09,0.00,44.54
1,0.25,1.19,0.00,44.09
1,-0.03,0.82,0.17,45.66
1,-0.03,0.85,0.26,39.60
1,-0.25,1.04,0.26,37.38
1,-0.22,0.89,0.16,37.38
1,-0.22,0.95,0.06,46.29
1,0.01,0.95,0.10,40.02
1,0.25,1.30,-0.03,40.02
1,0.02,0.86,0.12,43.74
1,0.02,0.86,0.28,49.79
1,-0.20,0.98,0.28,49.79
1,-0.23,0.98,0.15,42.26
1,-0.23,0.97,0.10,41.71
1,-0.05,0.84,0.10,42.13
1,0.19,1.31,-0.00,44.48
1,0.19,0.93,0.08,42.08
